=== REQUEST (gemini gemini-3.7-flash) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide two things: which entity it is, and how it relates to the registry's broader or narrower entities.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## 3. `p` and `r` — the hierarchy relation

Only for mentions you answered `"NEW"`. Unlike identity, this question is answered from what the entities ARE — your general knowledge of them — not from the source text. The source does not need to state, or even hint at, the relation.

Set `p` to the `E` number of the listed entity the mention stands in a genuine narrower/broader relation to. Scan the WHOLE `E1…En` list for it: the right entity may be any listed entity, including one that another mention of this document put on the list. A mention's options row is identity retrieval only — the genuinely broader entity is usually NOT in it, because a component and the system it belongs to rarely resemble each other by name. When the mention is the narrower side, prefer the **narrowest** listed entity that is genuinely broader than it. Set `r` to one of four:

- `"v"` — the listed entity is the mention **with a qualifier removed**: a version, edition, year, release, platform, or packaging variant. `Foo 2010` under `Foo`, `Foo 7` under `Foo`, `Foo (64-bit)` under `Foo`. Both name the same thing at different precision, and that qualifier is the only difference.
- `"n"` — the mention is narrower for any other reason: a named instance under its type, a model under its product line, a derivative built on the listed base.
- `"p"` — the mention is a distinct component, member, or subdivision of the listed entity.
- `"b"` — the reverse direction: the mention is genuinely **broader** than the listed entity — the listed entity is a version, instance, or component of the mention. `Foo` mentioned when `Foo 2010` is already listed.

An identifier that names a vulnerability, advisory, exploit, or ticket (`CVE-…`, `MS…-…`, a bulletin or issue number) is NOT narrower than the product it affects: a flaw lives IN a product without being a kind, version, or part of it. For such mentions answer `null` unless the listed entity is another naming of the same flaw.

Ask it of every new entity, not only the obvious ones. You have just written each mention's gloss — use it: when a gloss names the base product, engine, family, or host system the mention is built on, and that entity appears anywhere in `E1…En`, that entity is the `p`. A gloss that says "X-based" or "component of X" while `p` is `null` is a contradiction. In particular, when several mentions of this document are versions, derivatives, components, or members of one base product that appears anywhere in `E1…En`, each of them gets that `p` — a run of siblings is the commonest case, not an exception. Set both to `null` when nothing listed is narrower or broader, when the link is merely topical, or when you cannot say what the relation is — a missing edge is recoverable, a wrong one distorts every later rollup. Never point `p` at the mention itself, and never set it on a mention you linked.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference. The hierarchy question never depends on the source.

Output one raw JSON object, no markdown fences, no commentary, one entry per mention, in order, keys exactly in the order `m`, `id`, `g`, `p`, `r` — the gloss is written before the hierarchy answer on purpose:
{"v":[{"m":"M1","id":"E3","g":null,"p":null,"r":null},{"m":"M2","id":"NEW","g":"a 2010 release of the suite","p":"E1","r":"v"}]}

--- text ---
Source: "registry review at 334 canonicals"
Entities:
E1. eo9p1d2bfmioiot.m.pipedream.net
E2. eoiw8lhjwuc3sh2.m.pipedream.net
E3. eoy7zvsvn6xfcmy.m.pipedream.net
E4. bounceme.net
E5. brunoboys.net
E6. ddns.net
E7. fex.net
E8. freedynamicdns.net
E9. programasparapc.net
E10. dogiraftig.com
E11. 3utilities.com
E12. agreminj.com
E13. airmauritiusticket.com
E14. akaluij.com
E15. anidoz.com
E16. anniversarygiftsforcouples.com
E17. ansaigon.com
E18. apeduze.com
E19. eo2mxtqmeqzafqi.m.pipedream.net
E20. dezword.com
E21. servegame.com
E22. arentuk.com
E23. fan-guy.com
E24. ns2-dns.com
E25. ns3-dns.com
E26. verofes.com
E27. gmail.com
E28. ohsxy.com
E29. dishsouq.com
E30. britxec.com
E31. gobits3.com
E32. tinyurl.com
E33. 1833.site
E34. 8003659902.site
E35. eumr.site
E36. military-ukraine.site
E37. sardanal.online
E38. site-1.work
E39. alfa-gos.top
E40. barbatus.online
E41. aff-opros.top
E42. ginaengg.com
E43. rresteraftin.com
E44. blopik.com
E45. apokil.com
E46. axikok.com
E47. drimzis.com
E48. fluoxi.com
E49. noip.com
E50. shikjil.com
E51. dyndns.com
E52. nais-gov.com
E53. an-gos.top
E54. ghaniyu.com
E55. brand-gos.top
E56. an-ukr.top
E57. ukr.net
E58. sytes.net
E59. redirectme.net
E60. serveblog.net
E61. panelunregistertle-348.frge.io
E62. aspe.ro
E63. alf-gos.top
E64. trueadm.top
E65. acteran.ru
E66. apoxipodes.ru
E67. bilitora.ru
E68. billyhot.ru
E69. candidar.ru
E70. circulas.ru
E71. dodortar.ru
E72. emterox.ru
E73. enterwords.ru
E74. baidencult.com
E75. servehttp.com
E76. cautionphenomenon.co.kr
E77. co-opros.top
E78. co-uah.top
E79. pbank.co.ua
E80. blinkij.com
E81. coinerpay.top
E82. email.cz
E83. myvnc.com
E84. ddnsking.com
E85. ns.ns2-dns.com
E86. ns.ns3-dns.com
E87. floorfix.com.au
E88. microsoft.com
E89. winscp.net
E90. www.msftncsi.com
E91. edisk.ukr.net
E92. cs1.wpc-v0cdn.org
E93. economiquity.org
E94. freedynamicdns.org
E95. hopto.org
E96. karunadana.org
E97. myftp.org
E98. telsec.org
E99. zapto.org
E100. alt-2cdn.net
E101. azimurs.com
E102. github.com
E103. toknowall.com
E104. pastebin.com
E105. servepics.com
E106. ertimadifa.com
E107. hotmail.com
E108. d-upl.ddns.net
E109. ln-upl.ddns.net
E110. single-office.ddns.net
E111. viewdns.net
E112. myddns.me
E113. erwini.ru
E114. arcor.de
E115. cmtheodor.be
E116. cert.gov.ua
E117. ludepa.ec
E118. misp.cert.gov.ua
E119. raidforums.com
E120. thaibbqculver.com
E121. nowpropitup.com
E122. ereservices.com
E123. nais-gov.org
E124. mail.nais-gov.org
E125. dis.gov.ua
E126. gordon6.hopto.org
E127. cuts-international.org
E128. badpdf.com
E129. billiopa.com
E130. 1000020.xyz
E131. admukr.top
E132. myftp.biz
E133. omyce.ru
E134. servequake.com
E135. up-dot.myftp.org
E136. up-lnk.myftp.org
E137. kopratiso.ru
E138. fernandoherrera.me
E139. webhop.me
E140. me.gov.ua
E141. docs.microsoft.com
E142. answers.microsoft.com
E143. nitikora.ru
E144. borizhog.com
E145. nirsoft.me
E146. gotdns.ch
E147. blog.gocon.in
E148. photobucket.com
E149. podologaneri.it
E150. melitaeas.online
E151. gopoppers.com
E152. lesrochersblancs.com
E153. districoperav.icu
E154. meteolink.host
E155. ao3.hmgo.pw
E156. frge.io
E157. gov.ua
E158. iol.pt
E159. serveftp.com
E160. servemp3.com
E161. servebeer.com
E162. servehalflife.com
Mentions:
M1. "eo2mxtqmeqzafqi.m.pipedream.net" (Domain) — options: E1, E2, E3, E4
M2. "ginaengg.com" (Domain) — options: E10, E11, E12, E13
M3. "eo9p1d2bfmioiot.m.pipedream.net" (Domain) — options: E19, E2, E3, E4
M4. "eoy7zvsvn6xfcmy.m.pipedream.net" (Domain) — options: E19, E1, E2, E4
M5. "eoiw8lhjwuc3sh2.m.pipedream.net" (Domain) — options: E19, E1, E3, E4
