=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide two things: which entity it is, and how it relates to the registry's broader or narrower entities.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## 3. `p` and `r` — the hierarchy relation

Only for mentions you answered `"NEW"`. Unlike identity, this question is answered from what the entities ARE — your general knowledge of them — not from the source text. The source does not need to state, or even hint at, the relation.

Set `p` to the `E` number of the listed entity the mention stands in a genuine narrower/broader relation to. Scan the WHOLE `E1…En` list for it: the right entity may be any listed entity, including one that another mention of this document put on the list. A mention's options row is identity retrieval only — the genuinely broader entity is usually NOT in it, because a component and the system it belongs to rarely resemble each other by name. When the mention is the narrower side, prefer the **narrowest** listed entity that is genuinely broader than it. Set `r` to one of four:

- `"v"` — the listed entity is the mention **with a qualifier removed**: a version, edition, year, release, platform, or packaging variant. `Foo 2010` under `Foo`, `Foo 7` under `Foo`, `Foo (64-bit)` under `Foo`. Both name the same thing at different precision, and that qualifier is the only difference.
- `"n"` — the mention is narrower for any other reason: a named instance under its type, a model under its product line, a derivative built on the listed base.
- `"p"` — the mention is a distinct component, member, or subdivision of the listed entity.
- `"b"` — the reverse direction: the mention is genuinely **broader** than the listed entity — the listed entity is a version, instance, or component of the mention. `Foo` mentioned when `Foo 2010` is already listed.

An identifier that names a vulnerability, advisory, exploit, or ticket (`CVE-…`, `MS…-…`, a bulletin or issue number) is NOT narrower than the product it affects: a flaw lives IN a product without being a kind, version, or part of it. For such mentions answer `null` unless the listed entity is another naming of the same flaw.

Ask it of every new entity, not only the obvious ones. You have just written each mention's gloss — use it: when a gloss names the base product, engine, family, or host system the mention is built on, and that entity appears anywhere in `E1…En`, that entity is the `p`. A gloss that says "X-based" or "component of X" while `p` is `null` is a contradiction. In particular, when several mentions of this document are versions, derivatives, components, or members of one base product that appears anywhere in `E1…En`, each of them gets that `p` — a run of siblings is the commonest case, not an exception. Set both to `null` when nothing listed is narrower or broader, when the link is merely topical, or when you cannot say what the relation is — a missing edge is recoverable, a wrong one distorts every later rollup. Never point `p` at the mention itself, and never set it on a mention you linked.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference. The hierarchy question never depends on the source.

Output one raw JSON object, no markdown fences, no commentary, one entry per mention, in order, keys exactly in the order `m`, `id`, `g`, `p`, `r` — the gloss is written before the hierarchy answer on purpose:
{"v":[{"m":"M1","id":"E3","g":null,"p":null,"r":null},{"m":"M2","id":"NEW","g":"a 2010 release of the suite","p":"E1","r":"v"}]}

--- text ---
Source: "registry review at 1260 canonicals"
Entities:
E1. vdsina.ru
E2. humanitarydp.ru
E3. abracodabugalimpopo.ru
E4. balkimotion.ru
E5. kissmafiabeforyoudied.ru
E6. againandagaingmorder.ru
E7. vikompalion.ru
E8. kismamabeforyougo.ru
E9. agentsuperpupervinil.ru
E10. rafraystore.ru
E11. balet-me.pro
E12. baletua.pro
E13. githubusercontent.com
E14. tg-me.pro
E15. filebin.net
E16. balet-ua.pro
E17. shopersport.ru
E18. it-develop.me
E19. zaikaopentra.com.ru
E20. homospoison.ru
E21. zallesman.ru
E22. coudzoom.ru
E23. tvpharm.ru
E24. unayt.ru
E25. mediaplatformapharm.ru
E26. ceriossl.info
E27. deti-ball.eu
E28. tacticalv.com
E29. new-tech-savvy.com
E30. trust-certificate.net
E31. golos-mistechtva-ua.eu [aka golos-mistechtva-uah.eu]
E32. deti-golos-ua.pics
E33. ipoluchayteudovolstvie.ru
E34. goodlenuxilam.site
E35. confirmphone.site
E36. qsrgh.site [aka www.qsrgh.site]
E37. jslopasitmon.com
E38. authssl.site
E39. us-west-1-amazon.ua-energy.cloud
E40. ssl4.site [aka www.ssl4.site]
E41. lonejade.com
E42. geroiukr.site
E43. s3-rackspace.cloud
E44. ipodromlan.ru
E45. ukraero.space
E46. s3-spacex.cloud
E47. maxteroper.ru
E48. mxukr.net
E49. aleimportadora.net
E50. file.io
E51. aneria.net
E52. files-ukr.net
E53. armpress.net
E54. god-le.net
E55. nafillimonilini.net
E56. reg.ru
E57. support-ukr.net
E58. hopentools.ru
E59. vljsport.eu.com
E60. ligaspace.ru
E61. shorturl.at
E62. napropertyhub.eu
E63. apitelegram.org
E64. telesecurity.org
E65. sismasterhome.ru
E66. authssl.org
E67. filterfullproperty.ru
E68. bitbucket.org
E69. propertyiran.ir
E70. superdadymster.ru
E71. superops.com
E72. derzhposluhy.com [aka uspp.derzhposluhy.com]
E73. supermarioprohozhdenie.ru
E74. adobeprotectcheck.com
E75. superops.ai
E76. mirotrent.com [aka plntr.mirotrent.com]
E77. iplogger.com
E78. alegoomaster.com
E79. annualgieconferenceinmunich2024.com
E80. nv.ua
E81. afi-ukraine.org
E82. aten.ua
E83. meta.ua
E84. hostpro.ua
E85. btx-ukr.net
E86. rew-ukr.net
E87. dis.gov.ua
E88. l-ukr.net
E89. nbu.gov.ua
E90. bdf.gov.ua
E91. admin.certifiedauth.in
E92. cert.gov.ua
E93. ndibk.gov.ua
E94. gov-ua.cloud [aka govua.cloud, ua-gov.cloud]
E95. trnvk.gov.ua
E96. mail.aet.in.ua
E97. humanitarydp.ug
E98. yeah-biches.kyiv.ua
E99. mail.lebsack.de
E100. atl.ua
E101. k-ukr.net
E102. gondurasonline.ru
E103. golos2023q.ru
E104. golos-ua.life [aka golos-ukr.life]
E105. deti-malunki-uah.eu [aka malunki-ditini-uah.eu, golos-ditin-ua.eu, malunki-ditin-ua.eu, malunki-ditini-ua.eu, malunki-ditin-uah.eu, golos-ditin-uah.eu]
E106. golosdruga.ru
E107. balerina.info
E108. rmssrv.ru
E109. balerina.life
E110. liverpulapp.ru
E111. zaikadoctor.ru
E112. prostotaknet.net
E113. tvoyaradostetoya.ru
E114. kissmafiabeforyoudied.eu
E115. infomailforyoumak.ru
E116. krasavchikoleg.net
E117. kismamabeforyougo.su
E118. kismamabeforyougo.com
E119. zarabovannyok.eu
E120. uasystnet.com
E121. uasystdoc.com
E122. telegram-mobile.ru
E123. telegram-confirm.site
E124. telegram-wap.me
E125. telegram-chary.blog
E126. getssl.click
E127. telegram-wed.id
E128. superboler.com
E129. hopentools.site
E130. devtools.bond
E131. sakentoshi.ru
E132. steycools.pw
E133. metallergroup.ru
E134. zaliphone.com
E135. balletmasters.eu
E136. balletmasters.co
E137. live.com.exmo.day
E138. live.com.getssl.click
E139. iqhost.ru
E140. internet.bs
E141. int-ukr.net
E142. sav.com
E143. prostosmeritesya.ru
E144. dublebomber.ru
E145. vivianstyler.ru
E146. octoberoctopus.co.za
E147. zaikaopentra.com.ug
E148. crash.syncthing.net [aka syncthing.net]
E149. ukr.net
E150. rms-server.tektonit.ru
E151. netman.servehttp.com
E152. policie-gov.cloud
E153. specnaznachenie.ru
E154. duhodown.fun
E155. moyabelorussiya.by
E156. tme-id.com
E157. 00-l.ru
E158. simplecloud.ru
E159. remala.id
E160. deti.eu
E161. baletme.eu
E162. funedunet.com
E163. odwebp.com [aka svc.odwebp.com]
E164. qweasdzx.site
E165. boddyshow.fun
E166. linedrv.com
E167. baletki.eu
E168. ukr-golosovan.site [aka ukr-golosovanie.site, ukr-golosovane.site]
E169. hudojnik.eu [aka hudojniku.eu]
E170. outlook.exmo.day
E171. baletnet.eu
E172. unetset.com
E173. gbshost.org
E174. gbshost.net
E175. zalamafiapopcultur.eu
E176. telegram-click.ru
E177. telegram-account.host [aka web.telegram-account.host]
E178. telegram-auth.website [aka www.telegram-auth.website]
E179. invoice-traffic.com
E180. sync.invoice-traffic.com
E181. samoramertut.ru
E182. popuasyfromua.ru
E183. polinamailserverip.ru
E184. diplombar.by
E185. restmantra.by
E186. propertyminsk.by
E187. dubl-ukr.net
E188. super777bomba.ru
E189. gondurasonline.ug
E190. aws-online.cloud
E191. ssl2.online
E192. zalamafiapopcultur.ru
E193. bluepablo.fun
E194. comperssw.fun
E195. kowersize.fun
E196. plengreg.fun
E197. mouseoiet.fun
E198. howlcars.fun
E199. zamesblack.fun
E200. complainnykso.shop
E201. vertusupportjk.org
E202. 3dstore.pro
E203. charistmatwio.shop
E204. geroiua.com
E205. verify-ukr.net
E206. prot-ukr.net
E207. p-ukr.net
E208. bh-ukr.net
E209. t-me.io
E210. gir.network
E211. tg.cyou
E212. verycheap.store
E213. sephoraofficetz.ru
E214. jokoloret.ru
E215. frge.io
E216. mocky.io
E217. shodan.io
E218. censys.io
E219. beget.com
E220. cloudlnk.org
E221. ns1.authssl.org
E222. t--t.me
E223. balet-me.info
E224. t.me
E225. mivocloud.com
E226. filedn.eu
E227. ukr-net-downloadfile.su
E228. files.ukr.net.ssl2.in
E229. raw.githubusercontent.com
E230. in-touc.com
E231. nlightusa.com
E232. griselda.co.ua
E233. prozorro.online
E234. the-new-age.co.ua
E235. private-ukr.net
E236. ruvds.com
E237. account-saver.com
E238. object-storage-service.com
E239. smart-vnc.com
E240. sansaispa.com
E241. opros-sch-hudojniki.eu [aka tvorchist-sch-hudojniki.eu]
E242. uf1-ukr.net
E243. golos-hudojniku-ua.eu [aka golosa-hudojniku-ua.eu]
E244. hudojnik-ua.eu
E245. balet-ua.eu
E246. out-ukr.net
E247. golos-hudojniku-uah.eu [aka golosa-hudojniku-uah.eu]
E248. golos-ukr.info
E249. golos-charu-ua.info
E250. miecznet.com.pl
E251. balet-ua.info
E252. emtserviceca.info
E253. cloudflare-dns.com
E254. smartcloudflare.com [aka sync.smartcloudflare.com]
E255. cdnauthsoft.com
E256. god-le.com
E257. townoflakelure.com
E258. array.myftp.biz
E259. griselda.biz.ua
E260. malvy-vote.life [aka vote-malvy.life]
E261. my-gov.cloud
E262. grabify.link
E263. me-cloud.link
E264. telegram.org-a0dm91dk31i.cloue.link
E265. claud.in
E266. ssl2.link
E267. authssl.link
E268. bloockflad.pw
E269. goaccount.link
E270. net.ssl3.site
E271. net.ssl1.site [aka ssl1.site]
E272. com.ssl3.site
E273. net.ssl2.site [aka ssl2.site]
E274. com.ssl3.online [aka ssl3.online]
E275. ukr.net.ssl3.site
E276. google.com.ssl3.site
E277. telegraom.me
E278. it-grad.kz
E279. i1t.me
E280. 7tt.me
E281. protectconnections.com
E282. protonmail.com
E283. anotepad.com
E284. protect-password.site [aka www.protect-password.site]
E285. selectchary.eu
E286. ua-deti-chary.eu
E287. 0-t.me
E288. 4-t.me
E289. cloue.link
E290. net.ssl2.link
E291. net.frge.io
E292. ukr.net.frge.io
E293. _.ukr.net.frge.io
E294. robot-876.frge.io
E295. topibuzz.space
E296. faillymoodkywko.shop
E297. commisionipwn.shop
E298. backstagemerch.shop
E299. ignoracndwko.shop
E300. basedsymsotp.shop
E301. preachstrwnwjw.shop
E302. grassemenwji.shop
E303. empoweringparents.shop
E304. keewoolas.pw
E305. ukr-malvy.life
E306. protectraid.com
E307. tronogram.com
E308. petitionukraine.com
E309. mail.certifiedauth.in
E310. president-petitions.shop
E311. imgurl.ir
E312. dynamic.exmo.day
E313. images.exmo.day
E314. web.telegramm-account.site
E315. premiumjeck.site
E316. hillespostelnm.eu
E317. opros-schudojniki-ua.eu [aka opros-schudojniki-uah.eu]
E318. golos-uah-hudojniku.eu
E319. hudojnikua-sch.eu
E320. tvorchist-sadochka.eu [aka tvorchist-sch-hudojnika.eu]
E321. hudojnik-school.eu [aka hudojniku-school.eu, school-hudojniku.eu]
E322. hudojnikuah-sch.eu
E323. jimloamfilling.online
E324. prozorro-ua.net
E325. truffa.online
E326. hsts.online [aka www.hsts.online]
E327. authssl.online
E328. com.ssl4.online [aka ssl4.online]
E329. ns1.modeselling.com
E330. ns2.modeselling.com
E331. eurotelle.com
E332. olminx.com
E333. mod-ukr.net
E334. rozsenich.com
E335. run.mocky.io
E336. malvy-ukriane.info
E337. a3-ukr.net
E338. qwdfewf.com
E339. freesitucionap.com
E340. oncetrips.com
E341. stitchmiscpaew.shop
E342. telegra.ph
E343. s3-de.cloud
E344. killredls.pw
E345. africathrillthes.pw
E346. dayzilons.pw
E347. moskhoods.pw
E348. bookgames.pw
E349. drive.google.com
E350. www.binance.com.exmo.day
E351. www.ssl2.in
E352. www.binance.com.personlog.in
E353. catbox.moe
E354. dnspod.com
E355. www.authssl.in
E356. crmeds.com
E357. drv2ms.com
E358. drive.google.com.getssl.click
E359. www.google-drive.site
E360. drive.redirecl.com
E361. drive.googles.com.personlog.in
E362. google.drive-share.site
E363. drive.googie.com.ssl2.site
E364. google.share-drive.site
E365. chari-konkursua.eu [aka chary-konkursua.eu]
E366. carpetmarker.pw
E367. exceptions.exmo.day
E368. baletki-ua.life
E369. baletki-ua.pics
E370. baletua.eu
E371. hudojnik-malunki-uah.eu [aka hudojnik-malunki.eu, malunki-hudojnik.eu, malunki-ua.eu, malunki-uah.eu]
E372. deti-ua.eu
E373. group.teneta.site
E374. teneta.group
E375. lotus-kiev.eu [aka lotuskiev.eu]
E376. milekiev.eu
E377. jasminkiev.eu
E378. mails.support
E379. mail-gov.com
E380. mail-ukr.net
E381. mail-gov.net
E382. mail.numina.md
E383. chary-telegram.eu
E384. vote-chary-telegram.info
E385. golos-telegtam.eu
E386. webk-telegram.icu
E387. web-telegram.host
E388. accept-action.site [aka group-invitation.site, www.accept-action.site]
E389. whatsapp.group-invitation.site
E390. site-ukr.net
E391. teneta.site
E392. balet-deti.eu
E393. ukrsets.com
E394. govtr.cloud
E395. ukrsett.com
E396. poertrfinal.com
E397. hudojnik-diti.eu
E398. sc-hudojnik.eu
E399. hudojnik-dsm.eu
E400. vh-ukr.net
E401. hudojnik-dst.eu
E402. minef.eu
E403. golosa-zaditinu-ua.eu [aka zaditinu-golos-ua.eu, zaditinu-golos-uah.eu]
E404. golosa-uahhudojniku.eu [aka golosa-uahugojniku.eu, golosa-uahudojniku.eu, golosa-zaditinu-uah.eu]
E405. golosa-hudojniku.eu [aka golosa-hudojnikuua.eu]
E406. malunki-konkurs-ua.eu
E407. malunki-konkurs-uah.eu
E408. golos-malunki-ua.eu [aka golos-malunki-uah.eu]
E409. hudojnik-malunki-ua.eu [aka malunki-ua-hudojnik.eu]
E410. malunki-deti-uah.eu
E411. malunki-golos-ua.eu [aka malunki-golos-uah.eu]
E412. deti-malunki-ua.eu
E413. i-like-hokku.co.ua
E414. baletki-ua.eu
E415. detipoertry.com
E416. poeuatryditieu.com
E417. ifastnet.com
E418. dytiachatvorchist.pics [aka dytitvorchist.pics]
E419. ua-konkurs.pics
E420. uah-konkurs.pics
E421. baletkiev.pics
E422. chary-konkursua.pics
E423. balet-ua.us
E424. balet-ua.life
E425. balet-ua.mom
E426. yemmyusa.com
E427. let-me.life
E428. golosa-zaditinu.eu
E429. reg-ukr.net
E430. regs-ukr.net
E431. infomalilopera.ru
E432. tvorchist-ua.eu
E433. crazykids.pics
E434. ditinstvo-ua.pics [aka ua-ditinstvo.pics]
E435. s3-stig.cloud
E436. tgeo.link
E437. mpsv-gov.cloud [aka mv-gov.cloud, msmt-gov.cloud, mzv-gov.cloud]
E438. ukenlog.com
E439. bourns.space
E440. com.ssl2.site
E441. zakolibal.online
E442. redport80.ru
E443. dhl.redirecl.com
E444. filetransrediremin.com
E445. servicedesk.atera.com
E446. ms-webdav-miniredir.com
E447. kew.1qw.us
E448. ret.6bc.us
E449. balet-me.us
E450. nk.1qw.us
E451. sindoproperty.org
E452. 0-ukr.net
E453. tme-id.ru
E454. cancel-auth.site
E455. ssl3.site
E456. president-petitions.click
E457. president-petition.best
E458. president-petition6504.best
E459. stage-ukr.net
E460. iloveua.ir
E461. familyvote.co
E462. malvy-ukraine.info [aka ukraine-malvy.info]
E463. telegram.org-a0dk3dm91iu.tgeo.link
E464. revivalsecularas.pw
E465. documentreader.net
E466. net-certificate.services
E467. res.certifiedauth.in
E468. notifications.certifiedauth.in
E469. gov-trust.cloud
E470. account.certifiedauth.in
E471. notifications.google2.certifiedauth.in
E472. uasettings.com
E473. settings-ukr.net
E474. kew.8df.us
E475. deti-bi.eu
E476. getssl.ink
E477. malvy-final.info
E478. familyvote.info
E479. teierqam.org
E480. telegram.org.t.me-cloud.link
E481. telegram.uk.net
E482. get.mail-gov.com
E483. my.mail-gov.net
E484. mail.outloolc.com [aka outloolc.com]
E485. mail.zhblz.com
E486. mail-gov-ua.frge.io
E487. post.mil.gov.ua
E488. whatsapp.protect-password.site
E489. password-ukr.net
E490. drive-share.site [aka share-drive.site]
E491. account-guard.site
E492. changepassword-ukr.net
E493. ns2.authssl.org
E494. authssl.in
E495. milgov.host
E496. delta.milgov.site
E497. kilomunara.com
E498. com.authssl.site
E499. ns2.authssl.site
E500. ns1.authssl.site
E501. gdocs.com.authssl.site
E502. googie.com.authssl.site
E503. net.ssl4.site
E504. ukr.net.ssl4.site
E505. docs.ukr.net.ssl4.site
E506. shared.drive.googie.com.ssl4.site
E507. group-teneta.online
E508. ns1.oncetrips.com
E509. rpc.1qw.us
E510. get.sign-cert.com
E511. ualogaccs.com
E512. blogger.certifiedauth.in
E513. blogger.google.com.getssl.click
E514. teiegram.host [aka www.teiegram.host]
E515. teiegram1.me
E516. geroi-ukraine.com
E517. modeselling.com
E518. uaccsnet.com
E519. ukrstnet.com
E520. com.getssl.ink
E521. com.personlog.in
E522. konkurs-chari-final-ua.eu
E523. konkurs-chary-final-ua.eu
E524. konkurs-chari-ua.eu [aka konkurs-chary-ua.eu, ua-konkurs-chary.eu, ua-konkurs-chari.eu]
E525. konkur-farbi-ua.eu
E526. konkurs-deti-ua.eu
E527. defender-bot.site
E528. ukainua.com
E529. s3-nsa.cloud
E530. s3-hudson.cloud
E531. uknetlogin.com
E532. cloudflare.com
E533. criticalosl.tech
E534. vtxhospital.com
E535. gov-lv.cloud
E536. gieannualconferenceinmunich.com
E537. lo7h.com
E538. golos-charu-ua.pics
E539. documents-reader.com
E540. static-ukr.net
E541. get.god-le.com
E542. gov-lt.cloud
E543. cloud.god-le.net
E544. google.com.ssl2.site
E545. edisk.in.ua
E546. in-ukr.net
E547. listen.servemp3.com
E548. vn-ukr.net
E549. barvy-ukraines.life
E550. ukraine-barvy.info
E551. ukraine-barvy.life
E552. barvy-ukraines.info
E553. ukraine-chares.info
E554. aws-ukraine.cloud [aka us-west-1.aws-ukraine.cloud]
E555. ukraine-geroi.org.ua
E556. petitian--ukraine.com [aka petitian-ukraine.com, petition--ukraine.com]
E557. mf-ukr.net
E558. petition-ukraine.com
E559. mta-ukr.net
E560. gurt.duna.ua
E561. malvy-ukraine.life [aka malvy-ukriane.life, ukraine-malvy.life]
E562. charyy-ukr.life [aka ukraine-charyy.life]
E563. ukraine-final.life
E564. chares-ukraine.life
E565. petitian-president.com
E566. uc-ukr.net
E567. petition-ukraina.com [aka petition-ukraina.com.ua]
E568. ml-ukr.net
E569. cvi-ukr.net
E570. geroiukrainu.com
E571. ua-geroi.com.ua
E572. mail.google2.certifiedauth.in
E573. inbox-ukr.net
E574. petition-president.kyiv.ua
E575. geroiua.com.ua [aka geroiukr.com.ua]
E576. golos-charu-ua.life
E577. uo-ukr.net
E578. griselda-edu.com.ua
E579. myftp.biz
E580. biches-yeah.co.ua
E581. sowakiev.eu
E582. ukraine-charu.life
E583. malvy-ukr.life
E584. malvy-final.life
E585. geroi.kyiv.ua
E586. 01mirror.com.ua
E587. awards-ua.pics
E588. hudojnik-diti-ua.eu
E589. ck-ukr.net
E590. k1-ukr.net
E591. cck-ukr.net
E592. kb-ukr.net
E593. 1-ukr.net
E594. edisk-ukr.net
E595. aws-meet.cloud [aka aws-meetings.cloud]
E596. aws-join.cloud
E597. aws-il.cloud
E598. aws-s3.cloud [aka s3-aws.cloud]
E599. aws-data.cloud
E600. m1-ukr.net
E601. edisk.ukr.net.ssl2.in
E602. edisk.ukrnet.01mirror.com.ua
E603. edisk.ukr.net.ssl3.site
E604. i-ua.account-guard.site
E605. petition.president.gov.ua
E606. id.court.gov.ua
E607. check.sign-cert.com [aka sign-cert.com]
E608. conf-ukr.net
E609. ukrainianworldcongress.info
E610. petition-ukrainiane.com
E611. ditinstvo-uah.pics
E612. moe-ditinstvo-uah.pics
E613. ukraina-diti-ua.pics
E614. nbu-gov.cloud
E615. ub-ukr.net
E616. petition-president.com
E617. petition-presidenta.com
E618. www.authssl.online
E619. www.certifiedauth.in
E620. v-ukr.net
E621. 2fa-ukr.net
E622. 4e-ukr.net
E623. ukr.net.ssl2.in
E624. ua-mil.cloud
E625. petition-president.com.ua
E626. petition-president.org.ua
E627. petition-presidenta.org.ua
E628. petition-presidenty.org.ua
E629. petition-presidenty.com
E630. petition-presidente.com
E631. pas-ukr.net
E632. passport2.zip
E633. ukr.net.ssl1.site
E634. ukr.net.ssl2.site
E635. ns1.passport2.zip
E636. gov-sk.cloud
E637. calendar.stib.com.ua
Mentions:
M1. "homospoison.ru" (Domain) — options: E1, E2, E3, E4
M2. "3dstore.pro" (Domain) — options: E10, E11, E12, E13
M3. "balkimotion.ru" (Domain) — options: E1, E3, E7, E19
M4. "coudzoom.ru" (Domain) — options: E1, E3, E23, E24
M5. "criticalosl.tech" (Domain) — options: E26, E13, E27, E28
M6. "ipodromlan.ru" (Domain) — options: E1, E3, E21, E22
