=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide one thing: which entity it is. Hierarchy between entities is decided elsewhere — never answer it here.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for. A mention may carry a `ctx:` reference naming the evidence window(s) (`S1. …`) that contain it.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference.

Output one raw JSON object per line (JSONL), no markdown fences, no commentary, no wrapping array, one line per mention, in order, keys exactly `m`, `id`, `g`:
{"m":"M1","id":"E3","g":null}
{"m":"M2","id":"NEW","g":"a 2010 release of the suite"}

--- text ---
Source: "Кібератака групи UAC-0010 (Armageddon) на державні організації України (CERT-UA#4434)" — evidence: S1. "UAC-0010 (Armageddon).</p><p>З метою забезпечення відмовостійкості своєї інфраструктури, члени групи, серед іншого, використовують Dynamic DNS сервіс NO-IP. Звертаємо увагу на доцільність моніторингу з'єднань з доменними іменами, що використовуються згаданим сервісом. Перелік безкоштовних доменних імен н"
Entities:
E1. NoIP
E2. DigitalOcean [aka digitalocean.com]
E3. Nice-IT
E4. 4vendeta
E5. Usoris
E6. Amazon
E7. iroko.net
E8. Fortinet
E9. Atera
E10. Telegram
E11. iplogger.com
E12. benokij.com
E13. icanhazip.com
E14. derzhposluhy.com [aka uspp.derzhposluhy.com]
E15. naffalno.site
E16. lo7h.com
E17. notfiled.com
E18. mirotrent.com [aka plntr.mirotrent.com]
E19. blopik.com
E20. apokil.com
E21. mxukr.net
E22. it-develop.me
E23. webhook.site
E24. m.personlog.in
E25. zarabovannyok.eu
E26. mail.lebsack.de
E27. eo2mxtqmeqzafqi.m.pipedream.net
E28. 4qzm.com
E29. uadop.webflow.io
E30. t.me
E31. a0698262.xsph.ru
E32. a0695487.xsph.ru
E33. a0667987.xsph.ru
E34. a0698649.xsph.ru
E35. a0671524.xsph.ru
E36. coudzoom.ru
E37. chis-gos.top
E38. abracodabugalimpopo.ru
E39. civh.ru
E40. infomailforyoumak.ru [aka kismamabeforyougo.ru]
E41. ardeas.ru
E42. vdsina.ru
E43. 7tt.me
E44. netman.servehttp.com
E45. i1t.me
E46. t--t.me
E47. igshop.net
E48. hilr.ru
E49. unayt.ru
E50. lnk.ukr-compens.xyz
E51. superdadymster.ru
E52. atlantar.ru
E53. grabify.link
E54. aleimportadora.net
E55. dogiraftig.com
E56. downloadrezerves.ru
E57. nod-update.it
E58. mod-ukr.net
E59. datagroup.ddns.net
E60. star-cz.ddns.net
E61. dwservice.net [aka www.dwservice.net]
E62. in-ukr.net
E63. internet.bs
E64. l-ukr.net
E65. tools.nexcess.net
E66. gir.network
E67. dubl-ukr.net
E68. docs.google.com.spreadsheets.d.1ip6eeakdebmwteh36vana4hu-glaeksstsht-boujdk.zhblz.com
E69. 0-ukr.net
E70. td-ukr.net
E71. filebin.net
E72. array.myftp.biz [aka myftp.biz]
E73. ua-cip.org
E74. apitelegram.org
E75. sindoproperty.org
E76. info-cip.org
E77. authssl.org
E78. drive.google.com
E79. cloudlnk.org
E80. redport80.ru
E81. ipodromlan.ru
E82. cmtheodor.be
E83. lopasts.ru
E84. clipperso.ru
E85. paparat.ru
E86. againandagaingmorder.ru
E87. homospoison.ru
E88. callsol.ru
E89. billiopa.com
E90. iqhost.ru
E91. ccbaminumpot.ru
E92. kilitro.ru
E93. nitikora.ru
E94. fishitor.ru
E95. ganara.ru
E96. bom02.gotdns.ch [aka gotdns.ch]
E97. dcshost.net
E98. armpress.net
E99. aneria.net
E100. ukr.net
E101. modeselling.com
E102. arentuk.com
E103. ns1.modeselling.com
E104. domtern.com
E105. dnspod.com
E106. ns2.modeselling.com
E107. fluoxi.com
E108. poeuatryditieu.com
E109. nlightusa.com
E110. bugiplaysec.com
E111. project3.top
E112. ssttekstil.com
E113. brunoboys.net
E114. www.pierreagencement.fr
E115. let-me.network
E116. god-le.net
E117. dynamic.exmo.day
E118. trust-certificate.net
E119. domthr.xyz
E120. settusfree.org.uk
E121. bitbucket.org
E122. freesitucionap.com
E123. hopentools.ru
E124. gbshost.org
E125. oceriesfornot.top
E126. t.co
E127. ns1.authssl.org
E128. my.mail-gov.net
E129. 0-t.me
E130. teiegram1.me
E131. mygraphbook.com
E132. mivocloud.com
E133. anonvnc.com
E134. smart-vnc.com
E135. sync.anonvnc.com
E136. ruvds.com
E137. odwebp.com [aka svc.odwebp.com]
E138. hiddenvnc.com
E139. oncetrips.com
E140. gov-fi.cloud
E141. qwdfewf.com
E142. afi-opros.top
E143. tme-id.com
E144. online.ua
E145. me-cloud.link
E146. device.redirecl.com [aka redirecl.com]
E147. drive.redirecl.com
E148. tgeo.link
E149. dhl.redirecl.com
E150. cloue.link
E151. survefuz.com
E152. serv1-ukr.net
E153. beget.com
E154. servicedesk.atera.com
E155. barbacoalosmartinez.com
E156. superboler.com
E157. ser-ukr.net
E158. aspx.io
E159. se-ukr.net
E160. inter-webservices.com
E161. protectraid.com
E162. adobeprotectcheck.com
E163. sinergil.com
E164. agreminj.com
E165. ukrsets.com
E166. teiergam.com
E167. bookgames.pw
E168. drv2ms.com
E169. ertimadifa.com
E170. listen.servemp3.com
E171. githubusercontent.com
E172. ukrsett.com
E173. geroiua.com
E174. rmssrv.ru
E175. gofile.io
E176. crmeds.com
E177. blinkij.com
E178. geroi-ukraine.com
E179. site-ukr.net
E180. whoer.net
E181. crash.syncthing.net [aka syncthing.net]
E182. viewdns.info
E183. shapurt.ru
E184. m-vz.webhop.me
E185. a0656203.xsph.ru
E186. a0322810.xsph.ru
E187. webhop.me
E188. xsph.ru
E189. lnk-upload.dodortar.ru
E190. dod-upload.dodortar.ru
E191. ln-upl.ddns.net
E192. d-upl.ddns.net
E193. up-dot.myftp.org
E194. up-lnk.myftp.org
E195. dodortar.ru
E196. kopratiso.ru
E197. billyhot.ru
E198. bilitora.ru
E199. ddns.net
E200. ddnsking.com
E201. 3utilities.com
E202. bounceme.net
E203. freedynamicdns.net
E204. freedynamicdns.org
E205. hopto.org
E206. myddns.me
E207. myftp.org
E208. myvnc.com
E209. onthewifi.com
E210. redirectme.net
E211. servebeer.com
E212. serveblog.net
E213. servecounterstrike.com
E214. serveftp.com
E215. servegame.com
E216. servehalflife.com
E217. servehttp.com
E218. serveirc.com
E219. serveminecraft.net
E220. servemp3.com
E221. servepics.com
E222. servequake.com
E223. sytes.net
E224. viewdns.net
E225. zapto.org
E226. noip.com
Mentions:
M1. "NO-IP" (Organization) — options: E1, E2, E3, E4 — ctx: S1
M2. "noip.com" (Domain) — options: E11, E12, E13, E14
M3. "m-vz.webhop.me" (Domain) — options: E21, E22, E23, E24
M4. "a0656203.xsph.ru" (Domain) — options: E31, E32, E33, E34
M5. "a0322810.xsph.ru" (Domain) — options: E31, E33, E32, E41
M6. "webhop.me" (Domain) — options: E22, E23, E43, E44
M7. "xsph.ru" (Domain) — options: E42, E33, E32, E48
M8. "lnk-upload.dodortar.ru" (Domain) — options: E50, E51, E52, E53
M9. "dod-upload.dodortar.ru" (Domain) — options: E55, E56, E52, E40
M10. "ln-upl.ddns.net" (Domain) — options: E59, E60, E44, E61
M11. "d-upl.ddns.net" (Domain) — options: E59, E60, E61, E44
M12. "up-dot.myftp.org" (Domain) — options: E71, E72, E29, E73
M13. "up-lnk.myftp.org" (Domain) — options: E53, E72, E71, E73
M14. "dodortar.ru" (Domain) — options: E41, E80, E52, E40
M15. "kopratiso.ru" (Domain) — options: E42, E83, E84, E40
M16. "billyhot.ru" (Domain) — options: E48, E88, E89, E40
M17. "bilitora.ru" (Domain) — options: E48, E92, E93, E40
M18. "ddns.net" (Domain) — options: E59, E60, E61, E96
M19. "ddnsking.com" (Domain) — options: E15, E101, E14, E102
M20. "3utilities.com" (Domain) — options: E107, E108, E92, E14
M21. "bounceme.net" (Domain) — options: E99, E113, E114, E61
M22. "freedynamicdns.net" (Domain) — options: E96, E54, E117, E61
M23. "freedynamicdns.org" (Domain) — options: E96, E74, E117, E119
M24. "hopto.org" (Domain) — options: E123, E124, E77, E74
M25. "myddns.me" (Domain) — options: E43, E30, E96, E45
M26. "myftp.org" (Domain) — options: E71, E72, E131, E74
M27. "myvnc.com" (Domain) — options: E132, E133, E14, E131
M28. "onthewifi.com" (Domain) — options: E102, E139, E140, E14
M29. "redirectme.net" (Domain) — options: E145, E146, E61, E53
M30. "servebeer.com" (Domain) — options: E11, E151, E152, E14
M31. "serveblog.net" (Domain) — options: E61, E152, E44, E157
M32. "servecounterstrike.com" (Domain) — options: E102, E28, E160, E14
M33. "serveftp.com" (Domain) — options: E44, E151, E14, E71
M34. "servegame.com" (Domain) — options: E44, E151, E152, E14
M35. "servehalflife.com" (Domain) — options: E44, E169, E14, E61
M36. "servehttp.com" (Domain) — options: E44, E61, E151, E152
M37. "serveirc.com" (Domain) — options: E44, E151, E152, E14
M38. "serveminecraft.net" (Domain) — options: E44, E54, E152, E61
M39. "servemp3.com" (Domain) — options: E170, E44, E151, E152
M40. "servepics.com" (Domain) — options: E44, E151, E152, E14
M41. "servequake.com" (Domain) — options: E44, E151, E152, E14
M42. "sytes.net" (Domain) — options: E71, E179, E65, E61
M43. "viewdns.net" (Domain) — options: E182, E96, E71, E60
M44. "zapto.org" (Domain) — options: E183, E74, E77, E76

=== RESPONSE (70.0s, in 4982 / out 8133 tok, stop) ===
{"m":"NO-IP","id":"E1","g":null}
{"m":"noip.com","id":"NEW","g":"Dynamic DNS service domain"}
{"m":"m-vz.webhop.me","id":"NEW","g":"domain"}
{"m":"a0656203.xsph.ru","id":"NEW","g":"domain"}
{"m":"a0322810.xsph.ru","id":"NEW","g":"domain"}
{"m":"webhop.me","id":"NEW","g":"domain"}
{"m":"xsph.ru","id":"NEW","g":"domain"}
{"m":"lnk-upload.dodortar.ru","id":"NEW","g":"domain"}
{"m":"dod-upload.dodortar.ru","id":"NEW","g":"domain"}
{"m":"ln-upl.ddns.net","id":"NEW","g":"domain"}
{"m":"d-upl.ddns.net","id":"NEW","g":"domain"}
{"m":"up-dot.myftp.org","id":"NEW","g":"domain"}
{"m":"up-lnk.myftp.org","id":"NEW","g":"domain"}
{"m":"dodortar.ru","id":"NEW","g":"domain"}
{"m":"kopratiso.ru","id":"NEW","g":"domain"}
{"m":"billyhot.ru","id":"NEW","g":"domain"}
{"m":"bilitora.ru","id":"NEW","g":"domain"}
{"m":"ddns.net","id":"NEW","g":"domain"}
{"m":"ddnsking.com","id":"NEW","g":"domain"}
{"m":"3utilities.com","id":"NEW","g":"domain"}
{"m":"bounceme.net","id":"NEW","g":"domain"}
{"m":"freedynamicdns.net","id":"NEW","g":"domain"}
{"m":"freedynamicdns.org","id":"NEW","g":"domain"}
{"m":"hopto.org","id":"NEW","g":"domain"}
{"m":"myddns.me","id":"NEW","g":"domain"}
{"m":"myftp.org","id":"NEW","g":"domain"}
{"m":"myvnc.com","id":"NEW","g":"domain"}
{"m":"onthewifi.com","id":"NEW","g":"domain"}
{"m":"redirectme.net","id":"NEW","g":"domain"}
{"m":"servebeer.com","id":"NEW","g":"domain"}
{"m":"serveblog.net","id":"NEW","g":"domain"}
{"m":"servecounterstrike.com","id":"NEW","g":"domain"}
{"m":"serveftp.com","id":"NEW","g":"domain"}
{"m":"servegame.com","id":"NEW","g":"domain"}
{"m":"servehalflife.com","id":"NEW","g":"domain"}
{"m":"servehttp.com","id":"NEW","g":"domain"}
{"m":"serveirc.com","id":"NEW","g":"domain"}
{"m":"serveminecraft.net","id":"NEW","g":"domain"}
{"m":"servemp3.com","id":"NEW","g":"domain"}
{"m":"servepics.com","id":"NEW","g":"domain"}
{"m":"servequake.com","id":"NEW","g":"domain"}
{"m":"sytes.net","id":"NEW","g":"domain"}
{"m":"viewdns.net","id":"NEW","g":"domain"}
{"m":"zapto.org","id":"NEW","g":"domain"}
