=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide one thing: which entity it is. Hierarchy between entities is decided elsewhere — never answer it here.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for. A mention may carry a `ctx:` reference naming the evidence window(s) (`S1. …`) that contain it.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference.

Output one raw JSON object per line (JSONL), no markdown fences, no commentary, no wrapping array, one line per mention, in order, keys exactly `m`, `id`, `g`:
{"m":"M1","id":"E3","g":null}
{"m":"M2","id":"NEW","g":"a 2010 release of the suite"}

--- text ---
Source: "Тематика голосування в месенджерах - новий спосіб викрадення акаунтів набирає обертів (CERT-UA#9688)" — evidence: S1. "о видалення, разом з усіма повідоменнями та даними, після цього - повторна реєстрація в месенджері.</p><p>Активність відстежується за ідентифікатором UAC-0195.</p><p>З метою мінімізації вірогідності реалізації кіберзагрози CERT-UA спільно з CSIRT-NBU вживаються заходи щодо виявлення та блокування мережевої" S2. "о пристрою до Telegram</p><p><br></p><p><strong>Індикатори кіберзагроз</strong></p><p><em>Мережеві:</em></p><pre class="ql-syntax" spellcheck="false">awards-ua.life awards-ua.pics balerina.info balerina.life balet-deti.eu balet-me.info balet-me.pro balet-me.us balet-ua.eu balet-ua.info balet-ua.life balet-ua.mom balet-ua.pro balet-ua.us baletki-ua.eu baletki-ua.life baletki-ua.pics baletki.eu baletme.eu baletkiev.pics baletnet.eu baletua.eu baletua.pro balletmasters.co balletmasters.eu balletworld.co barvy-ukraines.info barvy-ukraines.life bihei.eu blakejones.xyz chares-ukraine.life chari-konkursua.eu chari-konkursua.life chari-konkursua.world chary-konkursua.eu chary-konkursua.life chary-konkursua.mom chary-konkursua.pics chary-telegram.eu charyy-ukr.life crazykids.pics crmeds.com deti-ball.eu deti-bi.eu deti-golos-ua.pics deti-malunki-ua.eu deti-malunki-uah.eu deti-ua.eu deti.eu detikievakonkurs.co detipoertry.com ditina-konkurs-ua.eu ditinstvo-ua.pics ditinstvo-uah.pics dytiachatvorchist.pics dytitvorchist.pics familyvote.co familyvote.info farbi-golos-ua.eu farbi-golos-uah.eu farbi-ua.pics farbi-uah.pics finalmallyunky.eu gimnasikaua.site golos-charu-ua.info golos-charu-"
Entities:
E1. UAC-0140
E2. UAC-0145
E3. UAC-0102
E4. UAC-0002
E5. UAC-0165
E6. UAC-0118
E7. UAC-0006
E8. UAC-0154
E9. UAC-0094
E10. UAC-0188
E11. ua-cip.org
E12. aten.ua
E13. awa-opros.top
E14. ua-compenses.top
E15. atl.ua
E16. qiwardos.ru
E17. ua-compensations.xyz
E18. barbatus.online
E19. servehalflife.com
E20. gov.ua
E21. servepics.com
E22. ua-compensation.top
E23. hostpro.ua
E24. sec-t.info
E25. aneria.net
E26. gov-ua.info
E27. ceriossl.info
E28. telegrad.info
E29. info-cip.org
E30. teleqram.info
E31. tzi.info-cip.org
E32. viewdns.info
E33. ukrainianworldcongress.info
E34. bounceme.net
E35. billiopa.com
E36. zakolibal.online
E37. erinekenney.com
E38. erwini.ru
E39. vdsina.ru
E40. bilitora.ru
E41. mulleti.ru
E42. droopily.eu
E43. vljsport.eu.com
E44. balkimotion.ru
E45. it-develop.me
E46. hillespostelnm.eu
E47. eurotelle.com
E48. kissmafiabeforyoudied.eu
E49. europadonnaireland.org
E50. t-me.io
E51. naffalno.site
E52. tg-me.pro
E53. 3dstore.pro
E54. pro-gos.top
E55. aspe.ro
E56. vote-me.top
E57. 7tt.me
E58. prostosmeritesya.ru
E59. kew.1qw.us
E60. mail.aet.in.ua
E61. kew.8df.us
E62. yemmyusa.com
E63. mail.arlingtonhousing.us
E64. files-ukr.net
E65. napropertyhub.eu
E66. president.gov.ua.administration.vakansiyi.administration.president.gov-ua.info
E67. ukrainebayra.com
E68. melitaeas.online
E69. tg.cyou
E70. fast-mail.site
E71. arentuk.com
E72. olei.ro
E73. baidencult.com
E74. mail-gov-ua.frge.io
E75. co-uah.top
E76. iloveua.ir
E77. meta.ua
E78. nk.1qw.us
E79. cafeteriumups.ru
E80. kopratiso.ru
E81. tortunas.ru
E82. jokoloret.ru
E83. bubenci.ru
E84. redirectme.net
E85. blinkij.com
E86. pbank.co.ua
E87. i-like-hokku.co.ua
E88. districoperav.icu
E89. alegoomaster.com
E90. military-ukraine.site
E91. setnewcred.ukr.net.frge.io
E92. setnewcreds.ukr.net.frge.io
E93. ifastnet.com
E94. mitraseo.hol.es
E95. iforma.es
E96. telegra.ph
E97. chinagrill.co
E98. carpetmarker.pw
E99. sismasterhome.ru
E100. ipapi.co
E101. lesrochersblancs.com
E102. t.co
E103. vivianstyler.ru
E104. global-news-world.com
E105. gir.network
E106. dezword.com
E107. world-opros.top
E108. geroi-ukraine.com
E109. military-ukraine.online
E110. dis.gov.ua
E111. petition-ukraine.com
E112. crv-ukr.net
E113. petitian-ukraine.com
E114. civh.ru
E115. domthr.xyz
E116. 1000020.xyz
E117. tax-compenses.xyz
E118. uatax-compenses.xyz
E119. blopik.com
E120. uacompensation.xyz
E121. uatax-compens.xyz
E122. ukrainianworldcongress.org
E123. share.ukr.net.ssl1.site
E124. konkurs-events.top
E125. changepassword-ukr.net
E126. diagnostic-resolver.com
E127. share.ukr.net.ssl3.online
E128. dogiraftig.com
E129. servecounterstrike.com
E130. aviatorssm.bit
E131. global-world-news.net
E132. aff-opros.top [aka afi-opros.top]
E133. axikok.com
E134. modeselling.com
E135. azimurs.com
E136. e-wwg.com
E137. ryomy.ru
E138. apeduze.com
E139. chernilis.win
E140. chubanomania.icu
E141. nejsemlama.cz
E142. telegram.uk.net
E143. webk-telegram.icu
E144. webk-telegram.sbs
E145. telegram-wed.id
E146. apitelegram.org
E147. telegram-wap.me
E148. webz-telegram.sbs
E149. cca-ukr.net
E150. ukr.net
E151. 0-ukr.net
E152. jevejosader.top [aka an-ukr.top]
E153. geroiukr.site
E154. censys.io
E155. claud.in
E156. moskhoods.pw
E157. grabify.link
E158. com.getssl.click
E159. oncetrips.com
E160. ruvds.com
