=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide two things: which entity it is, and how it relates to the registry's broader or narrower entities.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## 3. `p` and `r` — the hierarchy relation

Only for mentions you answered `"NEW"`. Unlike identity, this question is answered from what the entities ARE — your general knowledge of them — not from the source text. The source does not need to state, or even hint at, the relation.

Set `p` to the `E` number of the listed entity the mention stands in a genuine narrower/broader relation to. Scan the WHOLE `E1…En` list for it: the right entity may be any listed entity, including one that another mention of this document put on the list. A mention's options row is identity retrieval only — the genuinely broader entity is usually NOT in it, because a component and the system it belongs to rarely resemble each other by name. When the mention is the narrower side, prefer the **narrowest** listed entity that is genuinely broader than it. Set `r` to one of four:

- `"v"` — the listed entity is the mention **with a qualifier removed**: a version, edition, year, release, platform, or packaging variant. `Foo 2010` under `Foo`, `Foo 7` under `Foo`, `Foo (64-bit)` under `Foo`. Both name the same thing at different precision, and that qualifier is the only difference.
- `"n"` — the mention is narrower for any other reason: a named instance under its type, a model under its product line, a derivative built on the listed base.
- `"p"` — the mention is a distinct component, member, or subdivision of the listed entity.
- `"b"` — the reverse direction: the mention is genuinely **broader** than the listed entity — the listed entity is a version, instance, or component of the mention. `Foo` mentioned when `Foo 2010` is already listed.

An identifier that names a vulnerability, advisory, exploit, or ticket (`CVE-…`, `MS…-…`, a bulletin or issue number) is NOT narrower than the product it affects: a flaw lives IN a product without being a kind, version, or part of it. For such mentions answer `null` unless the listed entity is another naming of the same flaw.

Ask it of every new entity, not only the obvious ones. You have just written each mention's gloss — use it: when a gloss names the base product, engine, family, or host system the mention is built on, and that entity appears anywhere in `E1…En`, that entity is the `p`. A gloss that says "X-based" or "component of X" while `p` is `null` is a contradiction. In particular, when several mentions of this document are versions, derivatives, components, or members of one base product that appears anywhere in `E1…En`, each of them gets that `p` — a run of siblings is the commonest case, not an exception. Set both to `null` when nothing listed is narrower or broader, when the link is merely topical, or when you cannot say what the relation is — a missing edge is recoverable, a wrong one distorts every later rollup. Never point `p` at the mention itself, and never set it on a mention you linked.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference. The hierarchy question never depends on the source.

Output one raw JSON object, no markdown fences, no commentary, one entry per mention, in order, keys exactly in the order `m`, `id`, `g`, `p`, `r` — the gloss is written before the hierarchy answer on purpose:
{"v":[{"m":"M1","id":"E3","g":null,"p":null,"r":null},{"m":"M2","id":"NEW","g":"a 2010 release of the suite","p":"E1","r":"v"}]}

--- text ---
Source: "registry review at 139 canonicals"
Entities:
E1. phymateus.online
E2. barbatus.online
E3. coagula.online
E4. graphiuma.online
E5. dipteran.online
E6. melitaes.online
E7. scorpiones.online
E8. melitaeas.online
E9. sardanal.online
E10. xbeta.online
E11. emterox.ru
E12. ukr.net
E13. smm2021.net
E14. acteran.ru
E15. winscp.net
E16. alt-2cdn.net
E17. sm.ukrtel.net
E18. dyndns.com
E19. omyce.ru
E20. ryomy.ru
E21. apoxipodes.ru
E22. erwini.ru
E23. candidar.ru
E24. circulas.ru
E25. tortunas.ru
E26. tridiuma.ru
E27. docs.microsoft.com
E28. answers.microsoft.com
E29. portal.msrc.microsoft.com
E30. www.msftncsi.com
E31. social.technet.microsoft.com
E32. dishsouq.com
E33. photobucket.com
E34. airmauritiusticket.com
E35. www.michiganmastereltiempo.com
E36. ansaigon.com
E37. badpdf.com
E38. proxylogon.com
E39. gmail.com
E40. ipv6-wpnc.net
E41. fex.net
E42. edisk.ukr.net
E43. www.dstruct.net
E44. pastebin.com
E45. nowpropitup.com
E46. ns.ns2-dns.com
E47. ns2-dns.com
E48. ns3-dns.com
E49. ns.ns3-dns.com
E50. biengrandir37.com
E51. enterwords.ru
E52. email.cz
E53. mulleti.ru
E54. nx0.ru
E55. cert.gov.ua
E56. pbank.co.ua
E57. gov.ua
E58. bank.gov.ua
E59. antination.kherson.ua
E60. me.gov.ua
E61. gov-ua.info
E62. dsszzi.gov.ua
E63. optica-rd.myftp.biz
E64. cuckoo.cert.ee
E65. zp.ukrtel.net
E66. ticket.cyberpolice.gov.ua
E67. microsoft.com
E68. ereservices.com
E69. myelectrive.com
E70. zuh3vcyskd4gipkm.onion [aka cryptsen7fo43rr6.onion]
E71. app.any.run
E72. widget.forum-pokemon.com
E73. motocheck.in
E74. fernandoherrera.me
E75. wpc-v0cdn.org
E76. cs1.wpc-v0cdn.org
E77. vuonorganic.com
E78. chinagrill.co
E79. www.hybrid-analysis.com
E80. nais-gov.org
E81. cve.mitre.org
E82. gordon6.hopto.org
E83. mail.nais-gov.org
E84. 1833.site
E85. 8003659902.site
E86. product-reviews.website
E87. site-1.work
E88. 1000020.xyz
E89. i.ua
E90. 185.193.38.78
E91. webknives.com
E92. cdn.discordapp.com
E93. mx-out-14.default-host.net
E94. parodadoca.ru
E95. varanasiclick.ru
E96. nais-gov.com
E97. thaibbqculver.com
E98. analyze.intezer.com
E99. arcor.de
E100. ceronamtinclube.icu
Mentions:
M1. "xbeta.online" (Domain) — options: E1, E2, E3, E4
M2. "barbatus.online" (Domain) — options: E1, E5, E3, E10
M3. "fex.net" (Domain) — options: E11, E10, E12, E13
M4. "phymateus.online" (Domain) — options: E5, E2, E4, E8
M5. "nx0.ru" (Domain) — options: E11, E20, E14, E19
M6. "graphiuma.online" (Domain) — options: E1, E3, E10, E2
M7. "melitaes.online" (Domain) — options: E1, E8, E2, E5
M8. "dipteran.online" (Domain) — options: E1, E10, E14, E2
M9. "scorpiones.online" (Domain) — options: E5, E6, E2, E1
M10. "melitaeas.online" (Domain) — options: E6, E1, E2, E3
M11. "coagula.online" (Domain) — options: E4, E10, E2, E1
M12. "microsoft.com" (Domain) — options: E27, E28, E15, E10
M13. "pastebin.com" (Domain) — options: E15, E34, E35, E18
M14. "winscp.net" (Domain) — options: E40, E41, E12, E18
M15. "sardanal.online" (Domain) — options: E5, E2, E10, E6
M16. "proxylogon.com" (Domain) — options: E1, E34, E36, E18
M17. "dyndns.com" (Domain) — options: E46, E47, E34, E48
M18. "emterox.ru" (Domain) — options: E14, E51, E20, E21
M19. "erwini.ru" (Domain) — options: E20, E14, E53, E21
M20. "i.ua" (Domain) — options: E55, E56, E57, E58
M21. "aviatorssm.bit" (Domain) — options: E10, E59, E17, E22
M22. "sm.ukrtel.net" (Domain) — options: E65, E42, E12, E41
M23. "photobucket.com" (Domain) — options: E39, E34, E18, E36
M24. "webknives.com" (Domain) — options: E18, E68, E34, E15
M25. "ryomy.ru" (Domain) — options: E22, E14, E19, E21
M26. "acteran.ru" (Domain) — options: E22, E11, E5, E21
M27. "ukr.net" (Domain) — options: E42, E65, E41, E17
M28. "raidforums.com" (Domain) — options: E18, E34, E72, E36
M29. "chernilis.win" (Domain) — options: E15, E22, E24, E73
M30. "ipv6-wpnc.net" (Domain) — options: E15, E41, E12, E75
M31. "ghaniyu.com" (Domain) — options: E20, E39, E77, E34
M32. "www.dstruct.net" (Domain) — options: E18, E79, E15, E12
M33. "wpc-v0cdn.org" (Domain) — options: E76, E70, E16, E80
M34. "eumr.site" (Domain) — options: E22, E84, E11, E85
M35. "iol.pt" (Domain) — options: E20, E19, E57, E88
M36. "ns2-dns.com" (Domain) — options: E46, E48, E49, E18
M37. "apoxipodes.ru" (Domain) — options: E19, E14, E25, E22
M38. "ns3-dns.com" (Domain) — options: E49, E47, E46, E18
M39. "omyce.ru" (Domain) — options: E20, E14, E22, E21
M40. "mulleti.ru" (Domain) — options: E22, E14, E20, E21
M41. "arcor.de" (Domain) — options: E14, E64, E7, E20
M42. "tridiuma.ru" (Domain) — options: E20, E19, E14, E4
M43. "tortunas.ru" (Domain) — options: E14, E24, E22, E51
M44. "enterwords.ru" (Domain) — options: E22, E14, E11, E25
M45. "cve.mitre.org" (Domain) — options: E64, E76, E80, E82
M46. "circulas.ru" (Domain) — options: E25, E14, E22, E51
M47. "cdn.discordapp.com" (Domain) — options: E18, E34, E71, E75
M48. "ansaigon.com" (Domain) — options: E18, E49, E96, E38
M49. "evil.server.com" (Domain) — options: E41, E18, E68, E97
M50. "cuckoo.cert.ee" (Domain) — options: E76, E99, E55, E14
M51. "zp.ukrtel.net" (Domain) — options: E17, E42, E12, E41

=== RESPONSE (76.2s, in 4157 / out 8916 tok, stop) ===
{"v":[{"m":"xbeta.online","id":"NEW","g":"a domain","p":null,"r":null},{"m":"barbatus.online","id":"NEW","g":"a domain","p":null,"r":null},{"m":"fex.net","id":"NEW","g":"a domain","p":null,"r":null},{"m":"phymateus.online","id":"NEW","g":"a domain","p":null,"r":null},{"m":"nx0.ru","id":"NEW","g":"a domain","p":null,"r":null},{"m":"graphiuma.online","id":"NEW","g":"a domain","p":null,"r":null},{"m":"melitaes.online","id":"NEW","g":"a domain","p":null,"r":null},{"m":"dipteran.online","id":"NEW","g":"a domain","p":null,"r":null},{"m":"scorpiones.online","id":"NEW","g":"a domain","p":null,"r":null},{"m":"melitaeas.online","id":"NEW","g":"a domain","p":null,"r":null},{"m":"coagula.online","id":"NEW","g":"a domain","p":null,"r":null},{"m":"microsoft.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"pastebin.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"winscp.net","id":"NEW","g":"a domain","p":null,"r":null},{"m":"sardanal.online","id":"NEW","g":"a domain","p":null,"r":null},{"m":"proxylogon.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"dyndns.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"emterox.ru","id":"NEW","g":"a domain","p":null,"r":null},{"m":"erwini.ru","id":"NEW","g":"a domain","p":null,"r":null},{"m":"i.ua","id":"NEW","g":"a domain","p":null,"r":null},{"m":"aviatorssm.bit","id":"NEW","g":"a domain","p":null,"r":null},{"m":"sm.ukrtel.net","id":"NEW","g":"a domain","p":null,"r":null},{"m":"photobucket.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"webknives.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"ryomy.ru","id":"NEW","g":"a domain","p":null,"r":null},{"m":"acteran.ru","id":"NEW","g":"a domain","p":null,"r":null},{"m":"ukr.net","id":"NEW","g":"a domain","p":null,"r":null},{"m":"raidforums.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"chernilis.win","id":"NEW","g":"a domain","p":null,"r":null},{"m":"ipv6-wpnc.net","id":"NEW","g":"a domain","p":null,"r":null},{"m":"ghaniyu.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"www.dstruct.net","id":"NEW","g":"a domain","p":null,"r":null},{"m":"wpc-v0cdn.org","id":"NEW","g":"a domain","p":null,"r":null},{"m":"eumr.site","id":"NEW","g":"a domain","p":null,"r":null},{"m":"iol.pt","id":"NEW","g":"a domain","p":null,"r":null},{"m":"ns2-dns.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"apoxipodes.ru","id":"NEW","g":"a domain","p":null,"r":null},{"m":"ns3-dns.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"omyce.ru","id":"NEW","g":"a domain","p":null,"r":null},{"m":"mulleti.ru","id":"NEW","g":"a domain","p":null,"r":null},{"m":"arcor.de","id":"NEW","g":"a domain","p":null,"r":null},{"m":"tridiuma.ru","id":"NEW","g":"a domain","p":null,"r":null},{"m":"tortunas.ru","id":"NEW","g":"a domain","p":null,"r":null},{"m":"enterwords.ru","id":"NEW","g":"a domain","p":null,"r":null},{"m":"cve.mitre.org","id":"NEW","g":"a domain","p":null,"r":null},{"m":"circulas.ru","id":"NEW","g":"a domain","p":null,"r":null},{"m":"cdn.discordapp.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"ansaigon.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"evil.server.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"cuckoo.cert.ee","id":"NEW","g":"a domain","p":null,"r":null},{"m":"zp.ukrtel.net","id":"NEW","g":"a domain","p":null,"r":null}]}
