=== REQUEST (gemini gemini-3.7-flash) ===
--- sampling ---
{"temperature":0}
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide one thing: which entity it is. Hierarchy between entities is decided elsewhere — never answer it here.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for. A mention may carry a `ctx:` reference naming the evidence window(s) (`S1. …`) that contain it.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference.

Output one raw JSON object per line (JSONL), no markdown fences, no commentary, no wrapping array, one line per mention, in order, keys exactly `m`, `id`, `g`:
{"m":"M1","id":"E3","g":null}
{"m":"M2","id":"NEW","g":"a 2010 release of the suite"}

--- text ---
Source: "Нарощування темпів UAC-0006, мільйонні збитки (CERT-UA#7648, CERT-UA#7688, CERT-UA#7699, CERT-UA#7705)" — evidence: S1. "8:47) використовується з другої декади вересня по теперішній час. Крім того, сервер управління шкідливою програмою розміщено на технічному майданчику ООО "Трейдер софт" (@simplecloud.ru, ОГРН:1089848043086, м.Санкт-Петербруг, Чекель Н.В.):</p><ul><li>85.143.216[.]129 (з 16.09.2023)</li><li>85.143.172[.]45 (з 01.10.2023)</li></ul><p>*<em>Слід зауважити, що використання інфраструктури О"
Entities:
E1. ЕОМ бухгалтерів
E2. Фінансові установи України
E3. державні та приватні установи, організації та підприємства
E4. державні організації України [aka державна організація України]
E5. місцеві ЗМІ
E6. організації України [aka українські організації, Ukrainian organizations]
E7. інформаційні та телекомунікаційні системи органів державної влади та місцевого самоврядування
E8. інформаційний простір України
E9. Державні фінансові установи України
E10. вебсайти державних органів [aka сайти державних органів]
E11. Система виявлення вразливостей і реагування на кіберінциденти та кібератаки
E12. Єдиний державний реєстр декларацій осіб, уповноважених на виконання функцій держави або місцевого самоврядування
E13. Єдина судова інформаційно-телекомунікаційна система (ЄСІТС)
E14. Електронний суд
E15. об'єкт критичної енергетичної інфраструктури України
E16. DNS-сервери для зони gov.ua
E17. високовольтні електричні підстанції
E18. ботмережа (більше 1000 комп'ютерів)
E19. TOR
E20. LiteManagerTeam
E21. ООО "ХОСТИНГ-ТЕХНОЛОГИИ"
E22. NirSoft
E23. ТОО "ИТ‑ГРАД"
E24. ООО "ГЛОБАЛ ИНТЕРНЕТ РЕШЕНИЯ"
E25. DWService
E26. Фонд "Альянс Демократій"
E27. ООН
E28. Торрент-Толока
E29. Microsoft
E30. cloudlnk.org
E31. abracodabugalimpopo.ru
E32. mivocloud.com
E33. xsph.ru
E34. acteran.ru
E35. me-cloud.link
E36. hilr.ru
E37. apoxipodes.ru
E38. cloudflare-dns.com
E39. ardeas.ru
E40. arentuk.com
E41. kilomunara.com
E42. dipteran.online
E43. int-ukr.net
E44. dodortar.ru
E45. lnk-upload.dodortar.ru
E46. zarabovannyok.eu
E47. domthr.xyz
E48. dod-upload.dodortar.ru
E49. tbwelo.ru
E50. bubenci.ru
E51. dubl-ukr.net
E52. maxteroper.ru
E53. hofsteder.ru
E54. rubidiumo.ru
E55. hamnavard.sharif.ir
E56. gov-ua.info
E57. mail-gov-ua.frge.io
E58. olei.ro
E59. claud.in
E60. lover.printing82.detroito.ru
E61. mitlubald.ru
E62. file.io
E63. milotrad.ru
E64. detroito.ru
E65. ipodromlan.ru
E66. jokoloret.ru
E67. stv-ukr.net
E68. sytes.net
E69. civh.ru
E70. 7tt.me
E71. s8.h.mchost.ru
E72. qkcew.ru
E73. kopratiso.ru
E74. krasavchikoleg.net
E75. agrikoz.com
E76. mail.numina.md
E77. session-ukr.net
E78. aviatorssm.bit
E79. kissmafiabeforyoudied.eu
E80. tiloraso.ru
E81. kissmafiabeforyoudied.ru
E82. vdsina.ru
E83. supermarioprohozhdenie.ru
E84. ganara.ru
E85. nxkad.ru
E86. humanitarydp.ru
E87. napropertyhub.eu
E88. sindoproperty.org
E89. europadonnaireland.org
E90. metanat.ru
E91. cooperi.ru
E92. filterfullproperty.ru
E93. lopasts.ru
E94. shodan.io
E95. aneria.net
E96. kurapat.ru
E97. hopentools.ru
E98. prostotaknet.net
E99. pre-opros.top
E100. rresteraftin.com
E101. zaikaopentra.com.ru
E102. atlantar.ru
E103. zaikaopentra.com.ug
E104. www.symantec.com
E105. foundpomoshi.com
E106. hopentools.site
E107. kilitro.ru
E108. lnasfe.ru
E109. aspe.ro
E110. omyce.ru
E111. superboler.com
E112. support-ukr.net
E113. kismamabeforyougo.ru
E114. parodadoca.ru
E115. tvpharm.ru
E116. yandex.ru
E117. korrespondentnet.webflow.io
E118. shopersport.ru
E119. zakolibal.online
E120. balkimotion.ru
E121. zallesman.ru
E122. fishitor.ru
E123. zaikadoctor.ru
E124. windacarmelita.pw
E125. xcqef.ru
E126. pasamart.ru
E127. freeusadatingxxx.online
E128. uatax-compens.xyz
E129. safe-ukr.net
E130. diplombar.by
E131. dublebomber.ru
E132. iloveua.ir
E133. ipoluchayteudovolstvie.ru
E134. kozachok777.ru
E135. moyabelorussiya.by
E136. nomnetozhedenyuzhkanuzhna.ru
E137. popuasyfromua.ru
E138. propertyiran.ir
E139. propertyminsk.by
E140. prostosmeritesya.ru
E141. restmantra.by
E142. sakentoshi.ru
E143. specnaznachenie.ru
E144. super777bomba.ru
E145. tvoyaradostetoya.ru
E146. yavasponimayu.ru
E147. zakrylki809.ru
E148. zasadacafe.by
E149. Dmytro Oleksiuk
E150. Микола Худинцев [aka Худинцев Микола Миколайович]
E151. Олександр Пучков
E152. Юрій Щиголь
E153. Микола Кулешов
E154. Майкл Чертофф
E155. Андрій Кузміч
E156. @BushidoToken
E157. cr4sh
E158. Трігубенко Сергій Георгійович
E159. simplecloud.ru
Mentions:
M1. "автоматизовані робочі місця бухгалтерів" (Sector) — options: E1, E2, E3, E4
M2. "системи дистанційного банківського обслуговування" (Infrastructure) — options: E11, E12, E13, E14
M3. "ООО "Трейдер софт"" (Organization) — options: E20, E21, E22, E23 — ctx: S1
M4. "simplecloud.ru" (Domain) — options: E30, E31, E32, E33 — ctx: S1
M5. "Чекель Н.В." (Individual) — options: E149, E150, E151, E152 — ctx: S1
M6. "diplombar.by" (Domain) — options: E40, E41, E42, E43
M7. "dublebomber.ru" (Domain) — options: E50, E31, E51, E49
M8. "iloveua.ir" (Domain) — options: E55, E56, E50, E57
M9. "ipoluchayteudovolstvie.ru" (Domain) — options: E64, E31, E65, E66
M10. "kozachok777.ru" (Domain) — options: E70, E31, E71, E72
M11. "moyabelorussiya.by" (Domain) — options: E49, E76, E77, E73
M12. "nomnetozhedenyuzhkanuzhna.ru" (Domain) — options: E50, E31, E82, E64
M13. "popuasyfromua.ru" (Domain) — options: E73, E31, E65, E50
M14. "propertyiran.ir" (Domain) — options: E55, E87, E88, E89
M15. "propertyminsk.by" (Domain) — options: E87, E88, E73, E91
M16. "prostosmeritesya.ru" (Domain) — options: E90, E31, E98, E93
M17. "restmantra.by" (Domain) — options: E93, E100, E101, E90
M18. "sakentoshi.ru" (Domain) — options: E93, E97, E105, E31
M19. "specnaznachenie.ru" (Domain) — options: E108, E31, E83, E73
M20. "super777bomba.ru" (Domain) — options: E83, E31, E111, E70
M21. "tvoyaradostetoya.ru" (Domain) — options: E113, E31, E84, E81
M22. "yavasponimayu.ru" (Domain) — options: E73, E31, E116, E93
M23. "zakrylki809.ru" (Domain) — options: E101, E31, E119, E50
M24. "zasadacafe.by" (Domain) — options: E85, E123, E124, E125

=== RESPONSE (4.6s, in 3711 / out 425 tok, STOP) ===
{"m":"M1","id":"NEW","g":"автоматизовані робочі місця бухгалтерів"}
{"m":"M2","id":"NEW","g":"системи дистанційного банківського обслуговування"}
{"m":"M3","id":"NEW","g":"технічний майданчик сервера управління"}
{"m":"M4","id":"NEW","g":"доменне ім'я технічного майданчика"}
{"m":"M5","id":"NEW","g":"особа, пов'язана з технічним майданчиком"}
{"m":"M6","id":"NEW","g":null}
{"m":"M7","id":"NEW","g":null}
{"m":"M8","id":"NEW","g":null}
{"m":"M9","id":"NEW","g":null}
{"m":"M10","id":"NEW","g":null}
{"m":"M11","id":"NEW","g":null}
{"m":"M12","id":"NEW","g":null}
{"m":"M13","id":"NEW","g":null}
{"m":"M14","id":"NEW","g":null}
{"m":"M15","id":"NEW","g":null}
